track_name,track_artist,track_album_id,track_album_release_date,track_id,track_album_id,playlist_name,playlist_genre,playlist_subgenre,playlist_id,track_popularity,energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,time_signature,track_href,uri,analysis_url,id
Espresso,Sabrina Carpenter,5quMTd5zeI9yW5UDua8wS4,12/04/2024,2qSkIjg1o9h3YT9RAgYN75,5quMTd5zeI9yW5UDua8wS4,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,90,0.76,103.969,0.701,-5.478,0.185,0.69,0.0285,6.54e-05,1,0,175459,0.107,4,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,spotify:track:2qSkIjg1o9h3YT9RAgYN75,https://api.spotify.com/v1/audio-analysis/2qSkIjg1o9h3YT9RAgYN75,2qSkIjg1o9h3YT9RAgYN75
Mantra,JENNIE,3e5tDT1kfaAGx10yOjIDgW,10/10/2024,2CspwnypzT7rcWI9RfsoSb,3e5tDT1kfaAGx10yOjIDgW,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,89,0.725,116.988,0.894,-4.984,0.0815,0.838,0.0432,1.15e-05,0,10,136627,0.00434,4,https://api.spotify.com/v1/tracks/2CspwnypzT7rcWI9RfsoSb,spotify:track:2CspwnypzT7rcWI9RfsoSb,https://api.spotify.com/v1/audio-analysis/2CspwnypzT7rcWI9RfsoSb,2CspwnypzT7rcWI9RfsoSb
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",0aX0UXrHG2ceYIxTQcqJdA,15/11/2024,0l0vcZMU7AOeQmUIREoI2U,0aX0UXrHG2ceYIxTQcqJdA,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,82,0.563,105.008,0.833,-5.593,0.139,0.343,0.204,1.27e-05,0,4,182857,0.528,4,https://api.spotify.com/v1/tracks/0l0vcZMU7AOeQmUIREoI2U,spotify:track:0l0vcZMU7AOeQmUIREoI2U,https://api.spotify.com/v1/audio-analysis/0l0vcZMU7AOeQmUIREoI2U,0l0vcZMU7AOeQmUIREoI2U
NEW DROP,Don Toliver,0Kzb3u6kMnOJOZXYFSk33F,14/06/2024,2c7z5oRcPBbqRaBY2mLWcf,0Kzb3u6kMnOJOZXYFSk33F,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,85,0.628,119.98,0.757,-6.715,0.221,0.321,0.101,0.0209,0,4,217333,0.189,4,https://api.spotify.com/v1/tracks/2c7z5oRcPBbqRaBY2mLWcf,spotify:track:2c7z5oRcPBbqRaBY2mLWcf,https://api.spotify.com/v1/audio-analysis/2c7z5oRcPBbqRaBY2mLWcf,2c7z5oRcPBbqRaBY2mLWcf
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",1woYXxyyxTQJ0E0AhZE6mj,10/05/2024,7221xIgOnuakPdLqT0F3nP,1woYXxyyxTQJ0E0AhZE6mj,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,84,0.855,127.986,0.638,-4.86,0.245,0.731,0.0264,0,1,7,178206,0.00757,4,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,spotify:track:7221xIgOnuakPdLqT0F3nP,https://api.spotify.com/v1/audio-analysis/7221xIgOnuakPdLqT0F3nP,7221xIgOnuakPdLqT0F3nP
Too Sweet,Hozier,1KZC0cX0qq6hodR9YVgh9F,22/03/2024,4IadxL6BUymXlh8RCJJu7T,1KZC0cX0qq6hodR9YVgh9F,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,77,0.62,117.038,0.741,-5.505,0.0398,0.934,0.0412,0.000809,1,10,251424,0.0295,4,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,spotify:track:4IadxL6BUymXlh8RCJJu7T,https://api.spotify.com/v1/audio-analysis/4IadxL6BUymXlh8RCJJu7T,4IadxL6BUymXlh8RCJJu7T
No One Noticed,The Marías,03guxdOi12XJbnvxvxbpwG,31/05/2024,3siwsiaEoU4Kuuc9WKMUy5,03guxdOi12XJbnvxvxbpwG,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,84,0.339,97.989,0.705,-10.612,0.12,0.457,0.0278,0.0814,1,7,236907,0.552,4,https://api.spotify.com/v1/tracks/3siwsiaEoU4Kuuc9WKMUy5,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,https://api.spotify.com/v1/audio-analysis/3siwsiaEoU4Kuuc9WKMUy5,3siwsiaEoU4Kuuc9WKMUy5
Tu Boda,"Oscar Maydon, Fuerza Regida",60cQzWfmdg4hyDXrpW6kOA,26/09/2024,1cOboCuWYI2osTOfolMRS6,60cQzWfmdg4hyDXrpW6kOA,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,93,0.651,112.648,0.694,-6.968,0.0787,0.471,0.0784,1.36e-05,1,6,225881,0.496,3,https://api.spotify.com/v1/tracks/1cOboCuWYI2osTOfolMRS6,spotify:track:1cOboCuWYI2osTOfolMRS6,https://api.spotify.com/v1/audio-analysis/1cOboCuWYI2osTOfolMRS6,1cOboCuWYI2osTOfolMRS6
Stargazing,Myles Smith,3VNxRarx9HUI5w7DHv0TBj,10/05/2024,3Vr3zh0r7ALn8VLqCiRR10,3VNxRarx9HUI5w7DHv0TBj,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,88,0.601,123.994,0.635,-6.129,0.11,0.332,0.0295,0,0,1,172533,0.246,4,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,https://api.spotify.com/v1/audio-analysis/3Vr3zh0r7ALn8VLqCiRR10,3Vr3zh0r7ALn8VLqCiRR10
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",2PzoiaGTcK3NfnMgHFd7QC,10/10/2024,4VI2Y5xg4gYynQqNQNQbTN,2PzoiaGTcK3NfnMgHFd7QC,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,70,0.691,167.029,0.836,-4.222,0.282,0.703,0.363,0,1,1,149461,0.00586,4,https://api.spotify.com/v1/tracks/4VI2Y5xg4gYynQqNQNQbTN,spotify:track:4VI2Y5xg4gYynQqNQNQbTN,https://api.spotify.com/v1/audio-analysis/4VI2Y5xg4gYynQqNQNQbTN,4VI2Y5xg4gYynQqNQNQbTN
